   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 289: Dahl Ivar M               Bærum                 1949   17
 290: Dahl Jan Henrik           Stjørdal              1109  173
 291: Dahl Lasse                Moss                  1290  234
 292: Dahl Torbjørn             Hell                  1586  588
 293: Dahl Trygve               Hell                   606   22
 294: Dahle Harald M.           (Tidl. Sandnes)       1041  273
 295: Dahlen Ole Henrik         Kristiansund           928   25
 296: Dahll Gustav              Halden                1263  202
 297: Dalseth Ulrich            Kristiansand          1336  165
 298: Dalsrud Endre             Stjernen              1845  108 2238
 299: Damjanic Nenad            Lillehammer           1503   19
 300: Danielsen Arne            Vålerenga             2048  450 2161
 301: Danielsen Dag             Vålerenga             1738  145 1887
 302: Danielsen Johnny Kr.      Nordstrand            1478   30
 303: Danielsen Kjetil B        (Tidl. Nordstrand)     737   70
 304: Danielsen Magnus          Vålerenga             1957  354 2019
 305: Dannevig Øystein          (Tidl. OSS)           2349 1204
 306: David Edwin               Kristiansund          2199  782 2239
 307: Davidsen Trond            (Tidl. Direkte)       1153  110
 308: Dawar Emal                Drammen               1427   19
 309: Delphin Nils Håkon        (Tidl. Akademisk)     1243  176
 310: DeMac Elias               Bergens               2111  373 2096
 311: Diesen Bruce              Asker                 2108  436 2173
 312: Digernes Magnus           Nittedal              1765  209
 313: Djerdj Zeljko             Egersund              1347   31
 314: Djurhuus Rune             Akademisk             2418 2079 2446
 315: Dogani Avduraim           Fredriksstad          1822  144
 316: Dokka Arild               Kongsberg             1269   37
 317: Drage Alf-Henning         Trondheimstud         1005   17
 318: Dramdal Rolf              Tempo                  997   72
 319: Drevvatn Ketil            Mosjøen               1312  105
 320: Drønen Ole Reza           (Tidl. Aalesund)      1455   87
 321: Dybvik Bjørn Noralf       Aalesund              1086  164
 322: Dybvik Edvin              SMPOAÅ                1546  360
 323: Dybvik Sara               (Tidl. SMPOAÅ)        1015   48
 324: Dybvik Truls              (Tidl. SMPOAÅ)        1007   48
 325: Dyrdal Arnbjørn           Hønefoss              1906  628
 326: Dyrdal Idar               OSS                   1538  533
 327: Dyrhaug Sverre S          Stavanger              892   29
 328: Dyrhovden Sigve           Bergens               1590   32
 329: Dyrnes Jussi              Nordstrand            1672  476
 330: Eckhardt Lars             Nordstrand            1956  555 2110
 331: Edakina Anastasia         OSS                   1294   48 1868
 332: Edakina Maria             (Tidl. OSS)           1325   66
 333: Edvardsen Ingar           Drammen               1748  484 1911
 334: Edvardsen Lars            Moss                  1122   80
 335: Edvardsen Leif            Drammen               1092  828
 336: Edvardsen Magnus          Kongsberg             1610  543
 337: Edvardsen Ragnar          Drammen               1889 1805 2039
 338: Edvardsen Tore            Hønefoss              1513  575
 339: Edvardsen Vidar           Stavanger             1674   78
 340: Edvardsen Øystein         Drammen               1464  442
 341: Egeberg Sebastian         (Tidl. Lørenskog)      921   28
 342: Egede-Nissen Bjørn        Drammen               1900  743 2084
 343: Egeland Arvid             Sandnes               1049   60
 344: Egeland Finn              Stjernen              1964  428 1865
 345: Egeland Marte             Sandnes               1858  448 1967
 346: Egeland Stig              (Tidl. Sandnes)       1261   33
 347: Egeli Per Ove             Randaberg             2265 1003 2283
 348: Eggerud Frank             Porsgrunn             1409  152
 349: Eian Per Ivar             Trondheim             1108  136
 350: Eide Christer             Harstad               1248   48
 351: Eidem Frode               Strømmen              1761  432
 352: Eidså Edvin               Stjernen              1261  403
 353: Eigum Knut Olav           Asker                  982  120
 354: Eike Mathias Brennhaugen  Lørenskog             1327   77
 355: Eikeland Erik             Nordnes               1952  333 2163
 356: Eikevik Arvid             Stjernen               923  243
 357: Eikås Daniel              (Tidl. Sandnes)       1147   34
 358: Eilertsen Johan Foss      Nordstrand             916   39
 359: Einarsen Kenneth          Akademisk             1884  282 2024
 360: Einvik Gunnar             Strømmen              1876  686 2092
 361: Ekeberg Carl Fr.          Asker                 2292  825 2317
 362: Ekeberg Øivind            Bærum                 1207  136
 363: Ekornmyr Arne             Moss                  1096   48
 364: Eliassen Øyvind Stokkenes (Tidl. Bergens)        860   54
 365: Ellingsen Bjørn M.        Stavanger             1421  287
